"TF-Condition-#","Start Position","End Position","MACE S/N","Closest gene","Operon"
"HupB-expo-1","195","224","0.95","thrL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009369&organism=ECK12&type=All#OPERON"" target=""_blank"">thrB,thrA,thrC,thrL</a>"
"HupB-expo-2","251","272","1.07","thrL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009369&organism=ECK12&type=All#OPERON"" target=""_blank"">thrB,thrA,thrC,thrL</a>"
"HupB-expo-3","71613","71626","1.02","yabI","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026521&organism=ECK12&type=All#OPERON"" target=""_blank"">yabI</a>"
"HupB-expo-4","83581","83613","0.98","leuA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009370&organism=ECK12&type=All#OPERON"" target=""_blank"">leuA,leuB,leuD,leuC</a>"
"HupB-expo-5","84462","84489","1.48","leuO","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026524&organism=ECK12&type=All#OPERON"" target=""_blank"">leuO</a>"
"HupB-expo-6","110509","110557","0.88","secA",""
"HupB-expo-7","156658","156689","1.37","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009453&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN,htrE,yadV</a>"
"HupB-expo-8","223595","223599","1.23","metN",""
"HupB-expo-9","223895","223916","1.24","metN",""
"HupB-expo-10","226581","226607","1.06","dkgB",""
"HupB-expo-11","226933","226970","1.02","dkgB",""
"HupB-expo-12","228994","229023","1.11","dkgB","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026554&organism=ECK12&type=All#OPERON"" target=""_blank"">dkgB</a>"
"HupB-expo-13","237026","237059","1.24","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"HupB-expo-14","238020","238053","1.49","yafT",""
"HupB-expo-15","238135","238157","1.06","yafF",""
"HupB-expo-16","246409","246440","1.04","dinJ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026565&organism=ECK12&type=All#OPERON"" target=""_blank"">yafL</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026564&organism=ECK12&type=All#OPERON"" target=""_blank"">dinJ,yafQ</a>"
"HupB-expo-17","252240","252286","1.04","yafN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026569&organism=ECK12&type=All#OPERON"" target=""_blank"">yafN,yafO,yafP</a>"
"HupB-expo-18","256351","256360","1.16","gpt","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120034540&organism=ECK12&type=All#OPERON"" target=""_blank"">frsA,gpt</a>"
"HupB-expo-19","295673","295696","1.1","intF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026588&organism=ECK12&type=All#OPERON"" target=""_blank"">yagN</a>"
"HupB-expo-20","297244","297256","1.09","intF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026589&organism=ECK12&type=All#OPERON"" target=""_blank"">intF</a>"
"HupB-expo-21","313421","313447","1.17","ykgR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125095421&organism=ECK12&type=All#OPERON"" target=""_blank"">ykgR</a>"
"HupB-expo-22","335967","336014","1.2","yahE","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026606&organism=ECK12&type=All#OPERON"" target=""_blank"">yahF,yahE,yahG</a>"
