Chromosome,Start,End,PValue,Score,Strand,ChIPCount,InputCount,FDR,log2FoldChange
NC_000913.3,124200,126199,1.90E-06,7.232113819,.,8616,8869,2.24E-05,0.072321138
NC_000913.3,127000,128399,0.00412276,4.994399743,.,5852,6118,0.030489249,0.049943997
NC_000913.3,221600,223599,0.000230294,5.402342208,.,8823,9198,0.002153928,0.054023422
NC_000913.3,224600,225799,0,267.1497812,.,4203,714,0,2.671497812
NC_000913.3,275000,290799,3.54E-06,1.634692772,.,157591,168636,4.02E-05,0.016346928
NC_000913.3,537400,537799,0.001082285,10.08250016,.,1951,1969,0.008824786,0.100825002
NC_000913.3,562400,562799,8.56E-09,19.16487601,.,1872,1774,1.13E-07,0.19164876
NC_000913.3,578600,580399,4.45E-06,6.694924671,.,9276,9584,4.88E-05,0.066949247
NC_000913.3,656000,657399,0.000857981,5.441008821,.,6963,7257,0.007179949,0.054410088
NC_000913.3,697200,697399,3.35E-17,40.55819164,.,962,786,6.27E-16,0.405581916
NC_000913.3,735400,738599,4.26E-10,7.153006843,.,15537,16002,5.89E-09,0.071530068
NC_000913.3,1064000,1065199,0.00379252,5.226649331,.,5460,5699,0.028714792,0.052266493
NC_000913.3,2011200,2012399,1.09E-07,10.20190473,.,5482,5528,1.38E-06,0.102019047
NC_000913.3,2103000,2110199,3.36E-18,6.94025865,.,32593,33618,6.68E-17,0.069402586
NC_000913.3,2137400,2137799,0.002108646,9.416460609,.,1943,1970,0.016763738,0.094164606
NC_000913.3,2190800,2192999,2.67E-11,9.548448944,.,10024,10154,4.05E-10,0.095484489
NC_000913.3,2312800,2313399,8.65E-05,9.65814712,.,3197,3236,0.000833844,0.096581471
NC_000913.3,2382600,2383999,0.000241274,5.97532989,.,7167,7442,0.002192151,0.059753299
NC_000913.3,2385200,2389799,1.27E-05,4.240966111,.,20676,21729,0.000134766,0.042409661
NC_000913.3,2405200,2405599,2.57E-05,13.32810041,.,1966,1940,0.00026331,0.133281004
NC_000913.3,2454800,2456399,0.00289486,4.516393588,.,7808,8190,0.022452819,0.045163936
NC_000913.3,2480800,2487999,7.74E-12,5.249893999,.,34721,36235,1.23E-10,0.05249894
NC_000913.3,2491800,2492399,0.000565903,9.117815886,.,2688,2731,0.004863705,0.091178159
NC_000913.3,2520600,2520999,1.77E-79,67.47126338,.,1882,1276,5.12E-78,0.674712634
NC_000913.3,2561800,2562199,4.57E-07,16.72636148,.,1851,1784,5.59E-06,0.167263615
NC_000913.3,2729200,2729599,0,191.6257588,.,1810,519,0,1.916257588
NC_000913.3,2730800,2731799,0,134.0095193,.,4910,2099,0,1.340095193
NC_000913.3,2817200,2819999,0,57.33248258,.,13938,10138,0,0.573324826
NC_000913.3,2899000,2900999,0.006904273,3.403609505,.,10921,11544,0.049899066,0.034036095
NC_000913.3,2947000,2947999,3.71E-91,49.28814712,.,3906,3004,1.18E-89,0.492881471
NC_000913.3,3428600,3470199,5.38E-59,4.793818766,.,238909,250116,1.32E-57,0.047938188
NC_000913.3,3471200,3619399,7.40E-32,1.837917405,.,845113,903071,1.68E-30,0.018379174
NC_000913.3,3622400,3652199,1.17E-10,1.994402516,.,211015,225242,1.69E-09,0.019944025
NC_000913.3,3653000,3666399,1.21E-12,3.076857698,.,108659,115118,2.03E-11,0.030768577
NC_000913.3,3667200,3762399,4.39E-13,1.300070784,.,630979,676770,7.76E-12,0.013000708
NC_000913.3,3943400,3944199,0,262.2473001,.,4330,761,0,2.622473001
NC_000913.3,3945600,4035399,4.99E-05,0.722233143,.,604936,651441,0.000495492,0.007222331
NC_000913.3,4037200,4037399,0,258.3641401,.,1357,245,0,2.583641401
NC_000913.3,4040400,4166399,0.000285993,0.542580948,.,839554,905222,0.00252627,0.005425809
NC_000913.3,4168000,4168799,0,211.264465,.,5043,1262,0,2.11264465
NC_000913.3,4171800,4176199,3.38E-100,17.57591127,.,31561,30240,1.19E-98,0.175759113
NC_000913.3,4177000,4208199,1.11E-61,5.536618175,.,187876,195679,2.95E-60,0.055366182
NC_000913.3,4209800,4209999,0,191.3161641,.,1218,350,0,1.913161641
NC_000913.3,4213000,4452599,6.48E-26,1.267204108,.,1422591,1526178,1.37E-24,0.012672041
