"TF-Condition-#","Start Position","End Position","MACE S/N","Closest gene","Operon"
"H-NS-expo-1","41839","41869","1.3","caiT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009437&organism=ECK12&type=All#OPERON"" target=""_blank"">caiA,caiD,caiC,caiB,caiE,caiT</a>"
"H-NS-expo-2","41903","41934","2.49","caiT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009716&organism=ECK12&type=All#OPERON"" target=""_blank"">fixX,fixC,fixA,fixB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009437&organism=ECK12&type=All#OPERON"" target=""_blank"">caiA,caiD,caiC,caiB,caiE,caiT</a>"
"H-NS-expo-3","42031","42060","2.5","caiT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009716&organism=ECK12&type=All#OPERON"" target=""_blank"">fixX,fixC,fixA,fixB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009437&organism=ECK12&type=All#OPERON"" target=""_blank"">caiA,caiD,caiC,caiB,caiE,caiT</a>"
"H-NS-expo-4","42175","42195","1.86","fixA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009716&organism=ECK12&type=All#OPERON"" target=""_blank"">fixX,fixC,fixA,fixB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009437&organism=ECK12&type=All#OPERON"" target=""_blank"">caiA,caiD,caiC,caiB,caiE,caiT</a>"
"H-NS-expo-5","42357","42395","1.91","fixA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009716&organism=ECK12&type=All#OPERON"" target=""_blank"">fixX,fixC,fixA,fixB</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009437&organism=ECK12&type=All#OPERON"" target=""_blank"">caiA,caiD,caiC,caiB,caiE,caiT</a>"
"H-NS-expo-6","84036","84057","1.22","leuO","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026524&organism=ECK12&type=All#OPERON"" target=""_blank"">leuO</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009370&organism=ECK12&type=All#OPERON"" target=""_blank"">leuA,leuD,leuB,leuL,leuC</a>"
"H-NS-expo-7","84148","84184","1.51","leuO","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026524&organism=ECK12&type=All#OPERON"" target=""_blank"">leuO</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009370&organism=ECK12&type=All#OPERON"" target=""_blank"">leuA,leuD,leuB,leuL,leuC</a>"
"H-NS-expo-8","84243","84273","1.56","leuO","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026524&organism=ECK12&type=All#OPERON"" target=""_blank"">leuO</a>"
"H-NS-expo-9","84281","84309","1.31","leuO","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026524&organism=ECK12&type=All#OPERON"" target=""_blank"">leuO</a>"
"H-NS-expo-10","156097","156132","1.01","yadV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009453&organism=ECK12&type=All#OPERON"" target=""_blank"">htrE,yadV</a>"
"H-NS-expo-11","156144","156176","1.01","yadV","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009453&organism=ECK12&type=All#OPERON"" target=""_blank"">htrE,yadV</a>"
"H-NS-expo-12","156994","157026","2.43","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030131&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN</a>"
"H-NS-expo-13","157104","157135","2.25","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030131&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN</a>"
"H-NS-expo-14","157186","157194","2.9","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120030131&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN</a>"
"H-NS-expo-15","237077","237112","1.32","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-16","237206","237240","1.62","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-17","237353","237423","3","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-18","237369","237400","3.22","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-19","237392","237423","3.06","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-20","237510","237538","1.96","yafT","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026559&organism=ECK12&type=All#OPERON"" target=""_blank"">yafT</a>"
"H-NS-expo-21","238135","238166","2.22","yafF",""
"H-NS-expo-22","238221","238241","1.88","yafF",""
"H-NS-expo-23","238291","238316","2.78","ykfM","ykfM"
"H-NS-expo-24","238373","238404","4.06","ykfM","ykfM"
"H-NS-expo-25","238542","238574","3.84","ykfM","ykfM"
"H-NS-expo-26","238737","238815","1.73","yafF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020486&organism=ECK12&type=All#OPERON"" target=""_blank"">yafF</a>,ykfM"
"H-NS-expo-27","238740","238749","2.33","yafF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020486&organism=ECK12&type=All#OPERON"" target=""_blank"">yafF</a>,ykfM"
"H-NS-expo-28","238790","238830","1.51","yafF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020486&organism=ECK12&type=All#OPERON"" target=""_blank"">yafF</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120020488&organism=ECK12&type=All#OPERON"" target=""_blank"">yafU,ykfM</a>"
