chrID	peakStart	peakStop	peakSize	logAveP	logMinP	aveLogP	aveChipCount	maxChipCount	aveInputCount	aveInputCountScaled	aveLog2Ratio	summitSignal	summit
NC_000913.3	223000	229201	6202	1.35827185793763	106.173151830684	60.2046881017344	3625.875	4171	1864.71875	1906.01012766055	0.945515283799673	12067	225414
NC_000913.3	236737	237427	691	0.388709206203668	1.12328665130501	0.492053185641073	3660.4	3983	2919.4	2984.04569948804	0.309942293674298	2273	236963
NC_000913.3	695000	697367	2368	0.807569844753306	23.292050396864	5.35263610193176	5289.33333333333	5629	3328.58333333333	3402.28977913986	0.63837701748959	6774	696783
NC_000913.3	778400	781840	3441	0.654150456896189	20.6685059431812	5.0995547846805	5373.11111111111	5546	3435.44444444444	3511.51716800525	0.618448073649017	5721	781011
NC_000913.3	925715	947599	21885	0.777539452898895	4.05121567867904	0.909250909828298	5338.17272727273	5620	3574.71818181818	3653.87491174085	0.547232945999211	1254	925956
NC_000913.3	1031497	1031780	284	3.65647191201894	3.68275590656291	3.65722209457133	5641.5	5682	3551	3629.63152664316	0.636112566251928	1204	1031658
NC_000913.3	1146917	1194999	48083	1.41899363040662	5.52666939433775	2.18092063106703	5624.57676348548	5886	3674.85477178423	3756.22887510647	0.582868499860135	768	1147119
NC_000913.3	1287056	1287685	630	5.78971184340721	13.6461172715217	10.5054355564783	5848	5873	3352.75	3426.991580105	0.77169404759654	3899	1287418
NC_000913.3	1587400	1978199	390800	1.73775975067915	10.5211568645272	3.51244888436263	6227.50409416581	7030	3880.27993858751	3966.20287166945	0.651520561592233	2836	1746547
NC_000913.3	1991543	1992398	856	2.22702442211436	15.0906160499768	6.16496409597323	6927.6	7061	3886	3972.0495951944	0.803592980254365	5486	1992014
NC_000913.3	2517840	2521550	3711	1.78677406167205	19.2756083017799	3.58550826570014	7499.31578947368	7690	4462.73684210526	4561.55740276462	0.72045978125289	4640	2521082
NC_000913.3	2725823	2731625	5803	2.01728187423482	41.4267895004521	26.1313926265072	8720.23333333333	9274	3981.4	4069.56208396988	1.10037318997721	15999	2729989
NC_000913.3	2817473	2947861	130389	1.85865283218207	70.0706718236319	5.431377055356	6987.8315467075	8091	4096.16079632466	4186.86408463523	0.741833207105721	12415	2818359
NC_000913.3	3318097	3345999	27903	1.4680902863487	33.9412672819009	2.34049665100631	7247.16428571429	8385	4406.75	4504.33081668114	0.688257728028749	5732	3322342
NC_000913.3	3423178	3429227	6050	2.48299771752935	110.621846832159	68.678641565931	8001.09375	8914	3242.4375	3314.23637656154	1.27775573178114	18901	3426943
NC_000913.3	3719820	3720316	497	0.948248155425894	3.80227508093528	1.82433821593592	7381.66666666667	7582	4221.66666666667	4315.14909273778	0.778444783131751	5260	3720050
NC_000913.3	3941347	3947259	5913	1.70690992344719	131.299081922782	86.3650034955532	6305.67741935484	7326	2649.06451612903	2707.72404501651	1.24530884186495	17025	3943432
NC_000913.3	3982176	3982999	824	1.89696618696962	65.0054416993888	26.2056016502656	6102.2	6173	3265	3337.29848901433	0.88824725649618	10123	3982585
NC_000913.3	4035035	4040864	5830	1.99293448555738	137.087707203584	85.6739868031495	5884.46666666667	6620	2481.3	2536.24463730207	1.23053115468519	14906	4035527
NC_000913.3	4166179	4177999	11821	1.32311931805891	132.475489082714	41.5652599194236	5221.48333333333	6004	2971.53333333333	3037.33344667353	0.831557917825846	14240	4166655
NC_000913.3	4207683	4213366	5684	1.78068441414263	120.959768315961	75.5797498412636	5081.27586206897	5905	2284.10344827586	2334.68146605925	1.13899306080091	14652	4209838
NC_000913.3	4391800	4392999	1200	0.719344335271813	36.2225826884506	8.19249828204228	4257.33333333333	4655	2933.5	2998.45792267184	0.522605148433852	7265	4392590
NC_000913.3	4605600	4606799	1200	0.563395521041881	15.8708615447539	4.82058532475475	2607.83333333333	2715	2105	2151.61204268765	0.292118452720717	5016	4606196
