start	end	spacer	repeat_unit
230	242	3	5
274	307	6	14
376	391	4	6
465	480	6	5
858	871	2	6
865	879	5	5
1276	1289	4	5
1379	1392	4	5
1466	1481	6	5
1794	1810	7	5
2091	2107	7	5
2924	2938	5	5
3231	3248	8	5
3375	3390	6	5
3459	3474	6	5
3515	3532	8	5
3845	3859	5	5
4020	4032	3	5
4132	4148	3	7
4276	4295	8	6
4417	4431	5	5
4447	4460	0	7
4738	4757	8	6
4918	4938	7	7
5001	5016	2	7
5004	5016	1	6
5291	5304	4	5
5537	5560	8	8
5574	5587	4	5
5685	5702	6	6
5796	5809	4	5
5941	5954	4	5
6128	6143	4	6
6214	6231	6	6
6300	6317	0	9
7653	7669	7	5
7885	7904	8	6
7902	7915	4	5
8063	8080	8	5
8517	8530	2	6
8883	8900	4	7
9199	9226	6	11
9309	9323	5	5
9361	9374	2	6
9406	9422	7	5
9449	9468	8	6
9523	9539	7	5
9900	9914	5	5
9901	9915	5	5
9898	9917	2	9
10610	10631	4	9
11055	11069	5	5
11119	11135	1	8
11329	11341	1	6
11525	11540	6	5
11751	11763	1	6
11794	11809	6	5
11912	11930	7	6
11920	11933	4	5
11930	11949	4	8
11991	12003	1	6
12091	12105	5	5
12328	12342	5	5
12347	12366	8	6
12351	12363	3	5
12414	12427	4	5
12721	12738	8	5
12759	12781	7	8
12766	12782	7	5
12872	12887	6	5
12884	12896	3	5
12929	12944	6	5
13229	13241	3	5
13576	13593	4	7
13942	13954	3	5
14053	14067	5	5
14086	14103	8	5
14361	14375	5	5
14585	14597	3	5
14839	14855	7	5
14961	14982	8	7
15015	15030	6	5
15182	15199	8	5
15245	15261	3	7
15310	15327	2	8
15515	15529	5	5
15629	15646	8	5
15681	15698	8	5
15838	15850	3	5
15847	15859	3	5
15960	15979	8	6
16156	16175	8	6
16172	16189	8	5
16245	16260	6	5
16277	16290	4	5
16421	16434	2	6
16500	16519	4	8
16750	16767	8	5
16804	16816	3	5
16809	16821	3	5
16838	16853	6	5
16840	16854	5	5
16874	16889	6	5
16918	16931	4	5
16922	16936	5	5
17149	17166	8	5
17203	17215	3	5
17520	17535	2	7
18094	18108	5	5
18225	18244	8	6
18290	18303	4	5
18671	18690	6	7
18715	18729	5	5
18736	18749	4	5
18841	18855	5	5
18898	18911	2	6
18922	18937	6	5
19201	19213	3	5
19237	19254	8	5
19396	19409	4	5
19437	19449	3	5
19456	19472	7	5
19465	19480	4	6
19845	19857	3	5
20059	20072	4	5
