"TF-Condition-#","Start Position","End Position","MACE S/N","Closest gene","Operon"
"HupA-expo-1","249","259","1.55","thrL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009369&organism=ECK12&type=All#OPERON"" target=""_blank"">thrB,thrA,thrC,thrL</a>"
"HupA-expo-2","37678","37710","1.08","caiC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120033587&organism=ECK12&type=All#OPERON"" target=""_blank"">caiD,caiE,caiC</a>"
"HupA-expo-3","88906","88933","1.27","cra",""
"HupA-expo-4","97177","97184","1.01","murD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120033235&organism=ECK12&type=All#OPERON"" target=""_blank"">murC,murG,ftsW,ddlB,ftsZ,murD,lpxC,ftsQ,ftsA</a>"
"HupA-expo-5","111536","111543","1.19","guaC",""
"HupA-expo-6","138752","138765","1.04","yacC",""
"HupA-expo-7","156658","156690","1.35","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009453&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN,htrE,yadV</a>"
"HupA-expo-8","156698","156715","1.28","yadN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009453&organism=ECK12&type=All#OPERON"" target=""_blank"">yadN,htrE,yadV</a>"
"HupA-expo-9","167456","167466","1.27","fhuA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009213&organism=ECK12&type=All#OPERON"" target=""_blank"">fhuB,fhuC,fhuA,fhuD</a>"
"HupA-expo-10","170121","170153","1.16","fhuC","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009213&organism=ECK12&type=All#OPERON"" target=""_blank"">fhuB,fhuC,fhuD</a>"
"HupA-expo-11","237925","237956","1.32","yafT",""
"HupA-expo-12","238063","238087","1.22","yafT",""
"HupA-expo-13","252243","252271","1.03","yafN","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026569&organism=ECK12&type=All#OPERON"" target=""_blank"">yafN,yafO,yafP</a>"
"HupA-expo-14","295670","295697","1.29","intF","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026588&organism=ECK12&type=All#OPERON"" target=""_blank"">yagN</a>"
"HupA-expo-15","313570","313595","1.07","ykgR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK125095421&organism=ECK12&type=All#OPERON"" target=""_blank"">ykgR</a>"
"HupA-expo-16","331785","331796","1.05","yahA",""
"HupA-expo-17","335826","335858","1.21","yahD","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026606&organism=ECK12&type=All#OPERON"" target=""_blank"">yahD,yahF,yahE,yahG</a>"
"HupA-expo-18","344456","344488","1.07","yahL","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120026609&organism=ECK12&type=All#OPERON"" target=""_blank"">yahL</a>"
"HupA-expo-19","366124","366142","2.14","lacZ","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009229&organism=ECK12&type=All#OPERON"" target=""_blank"">lacA,lacY,lacZ</a>"
"HupA-expo-20","404102","404135","0.99","yaiC","yaiC"
"HupA-expo-21","417892","417916","1.11","phoR","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120009246&organism=ECK12&type=All#OPERON"" target=""_blank"">phoR</a>"
"HupA-expo-22","511521","511551","1.03","glsA","<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120010914&organism=ECK12&type=All#OPERON"" target=""_blank"">glsA,ybaT</a>,<a href=""http://regulondb.ccg.unam.mx/search?term=ECK120011123&organism=ECK12&type=All#OPERON"" target=""_blank"">copA</a>"
